DATASET_YR,REPRJ_ID,INUN_ID,ADMS,COUNSEL,SAT1_VERB_200_P,SAT1_VERB_300_P,SAT1_VERB_400_P,SAT1_VERB_500_P,SAT1_VERB_600_P,SAT1_VERB_700_P,SAT1_MATH_200_P,SAT1_MATH_300_P,SAT1_MATH_400_P,SAT1_MATH_500_P,SAT1_MATH_600_P,SAT1_MATH_700_P,SAT1_COMP_400_P,SAT1_COMP_600_P,SAT1_COMP_800_P,SAT1_COMP_1000_P,SAT1_COMP_1200_P,SAT1_COMP_1400_P,SAT1_COMP_MEAN,SAT1_COMP_25TH_P,SAT1_COMP_75TH_P,ACT_1_P,ACT_2_P,ACT_3_P,ACT_4_P,ACT_5_P,ACT_6_P,SAT1_VERB_MEAN,SAT1_MATH_MEAN,ACT_MEAN,SAT1_VERB_670_800_P,SAT1_MATH_600_800_P,SUBMIT_P,SUBMIT_SAT1_P,SUBMIT_ACT_P,PLACE_ONLY,ADMS_PLACE,ADMS_COUNSEL,SAT1_VERB_25TH_P,SAT1_VERB_75TH_P,SAT1_MATH_25TH_P,SAT1_MATH_75TH_P,ACT_COMP_25TH_P,ACT_COMP_75TH_P,ACT_WRITING,SAT_NEW,SAT1_WRITING_200_P,SAT1_WRITING_300_P,SAT1_WRITING_400_P,SAT1_WRITING_500_P,SAT1_WRITING_600_P,SAT1_WRITING_700_P,SAT1_WRITING_25TH_P,SAT1_WRITING_75TH_P,SAT1_WRITING_MEAN,ESSAY_ADMIS_ACT,ESSAY_ADMIS_SAT,ESSAY_ADVISING_ACT,ESSAY_ADVISING_SAT,ESSAY_AP_SUBST_ACT,ESSAY_AP_SUBST_SAT,ESSAY_AP_VALID_ACT,ESSAY_AP_VALID_SAT,ESSAY_NO_ACT,ESSAY_NO_SAT,ESSAY_NO_POLICY_ACT,ESSAY_NO_POLICY_SAT,ESSAY_PLACE_ACT,ESSAY_PLACE_SAT,ADMS_OPTIONAL,SAT_ESSAY,ACT_ENG_1_P,ACT_ENG_2_P,ACT_ENG_3_P,ACT_ENG_4_P,ACT_ENG_5_P,ACT_ENG_6_P,ACT_MATH_1_P,ACT_MATH_2_P,ACT_MATH_3_P,ACT_MATH_4_P,ACT_MATH_5_P,ACT_MATH_6_P,ACT_MATH_MEAN,ACT_ENG_MEAN,ACT_MATH_25TH_P,ACT_MATH_75TH_P,ACT_ENG_25TH_P,ACT_ENG_75TH_P,ACT_PLACE,ACT_WRITING_25TH_P,ACT_WRITING_75TH_P,AP_PLACE,CLEP_PLACE,INST_PLACE,SAT1_PLACE,SAT2_PLACE,STATE_PLACE_T,SUBMIT_ACT_N,SUBMIT_SAT1_N,ACT_SCIENCE_25TH_P,ACT_READING_25TH_P,SAT1_COMP_50TH_P,SAT1_VERB_50TH_P,SAT1_MATH_50TH_P,ACT_COMP_50TH_P,ACT_MATH_50TH_P,ACT_ENG_50TH_P,ACT_WRITING_50TH_P,ACT_SCIENCE_50TH_P,ACT_READING_50TH_P,ACT_SCIENCE_75TH_P,ACT_READING_75TH_P,ACT_READING_1_P,ACT_READING_2_P,ACT_READING_3_P,ACT_READING_4_P,ACT_READING_5_P,ACT_READING_6_P,ACT_SCIENCE_1_P,ACT_SCIENCE_2_P,ACT_SCIENCE_3_P,ACT_SCIENCE_4_P,ACT_SCIENCE_5_P,ACT_SCIENCE_6_P
2023,12,5047,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5050,N,,,2,11,37,40,10,,1,9,43,34,13,,,7,50,35,8,,1085,1390,,,,36,55,9,,,,,,100,29,3,,,,540,650,545,640,25,30,,SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,46,18,,,9,27,55,,,,23,28,24,33,,,,,,X,X,,,11,108,,,1200,600,600,28,27,28,,,,,,,,,,,,,,,,,
2023,12,5051,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4,96,,,,490,540,450,490,18,23,ACTB,,,,,,,,,,,,,,,,,,,,,X,X,,,,SATB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5052,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5053,Y,,100,,3.28,14.75,47.54,34.43,100,,1.64,22.95,49.18,26.23,,,1.64,14.76,65.57,18.03,,,,,,,15.62,40.63,43.75,,,,,,32,21,11,,,,577,692,537,680,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,30,22,32,,,,X,X,X,,,,32,61,,,,630,613,28,25,29,,,,,,,,,,,,,,,,,
2023,12,5054,Y,,,,3.28,14.75,47.54,34.43,,,1.64,22.95,49.18,26.23,,,1.64,14.76,65.57,18.03,1245,,,,,,15.62,40.63,43.75,630,615,26,,,99,21,11,,,,577,692,537,680,23,30,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,24,26,21,30,22,32,,,,X,X,X,,,,32,61,,,,630,613,28,25,29,,,,,,,,,,,,,,,,,
2023,12,5055,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5056,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5058,Y,,,,7,35.03,48.41,9.55,,,5.73,48.41,36.94,8.92,,,4.46,43.94,44.59,7.01,1199,1100,1270,,,,35.71,50,14.28,605,594,26,,,100,31,3,,,,560,640,540,640,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,21.43,42.86,35.71,,,7.14,28.57,57.14,7.14,24,26,21,25,24,31,,,,,,,,,,14,157,22,23,1200,610,590,26,24,26,,26,26,31,33,,,,35.7,21.4,42.9,,,,35.7,21.4,42.9
2023,12,5059,Y,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5061,Y,,,2.45,26.39,43.55,21.48,6.13,,2.45,26.4,40.48,28.83,1.84,,1.85,27.6,43.55,23.92,3.08,,975,1210,,,,27.27,63.64,9.09,,,,,,,49,3,,,,480,600,485,600,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,36.36,36.4,18.2,,,,27.28,63.63,9.09,,,23,26,21,28,X,11,19,X,,X,X,,,11,163,23,21,1090,540,540,21,25,25,15,24,23,25,30,,,9.09,45.45,9.09,36.37,,,,45.46,45.45,9.09
